gen_name,steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
gen_1493_153_460_130,130189.57,130398.0,4503.072254039457,115900.0,140110.0,762.36,765.0,15.125818986091302,663.0,765.0,1556.4042368186306,1581.7243713210828,160.38567661115027,581.8456076721002,1667.1094457145434
gen_1493_153_460_131,129879.94,131171.0,13498.20970041583,4619.0,144312.0,754.16,765.0,71.71216354287463,65.0,765.0,1522.2030217303377,1573.579579292345,240.92042360183584,1.3072360706784099,1704.2546885173442
gen_1493_153_460_132,124827.41,130992.5,27271.582133457163,901.0,145000.0,725.54,765.0,149.81771724332205,1.0,765.0,1442.5545792503847,1574.7922199617888,397.56165620954226,0.1,1678.2942331401869
gen_1493_153_460_133,126841.13,130357.5,21615.084528011914,3800.0,143656.0,742.29,765.0,116.71660507399965,46.0,765.0,1509.3719704634996,1579.5783683292416,300.43389604538567,0.7127531208526734,1664.4717060134144
gen_1493_153_460_134,129658.88,130968.0,13629.552561459968,3104.0,144249.0,754.53,765.0,74.04653334221662,44.0,765.0,1532.5315947536842,1579.5783625082865,231.86297579583484,0.7852585030346696,1651.5921947872507
gen_1493_153_460_135,124212.91,130171.5,27951.812219637923,3394.0,143908.0,725.35,765.0,154.43065595923628,44.0,765.0,1457.5427168040408,1578.50906879544,388.4719432750328,0.7154973913790527,1653.2811557650434
gen_1493_153_460_136,129508.2,131136.5,13096.323775777688,10290.0,143171.0,755.77,765.0,67.32976384928142,113.0,765.0,1541.6769045228389,1578.21634571107,227.78527752926385,2.448644378247864,1642.6390524354665
gen_1493_153_460_137,127693.42,130268.5,17375.005403268224,8151.0,141440.0,745.0,765.0,93.91538745061962,98.0,765.0,1479.6942834167817,1577.8634995373363,328.7140551291318,2.0930743789322,1648.2365730822125
gen_1493_153_460_138,127672.3,129812.0,14167.208401445927,4285.0,143254.0,751.4,765.0,77.54933913322536,58.0,765.0,1522.7426327375133,1584.5064080836883,288.10185254776735,1.0765870150200996,1643.7553688344005
gen_1493_153_460_139,128776.91,129875.0,12803.222874022775,10058.0,145944.0,755.04,765.0,67.39078868806925,108.0,765.0,1534.6544347219178,1582.802831327177,237.70877038702818,2.216983591342746,1660.0048384103661
